연도,예산확정구분,부처명,본예산,데이터기준일
2023,정부안,5·18민주화운동 진상규명조사위원회,13268,2022-09-02
2023,정부안,감사원,137739,2022-09-02
2023,정부안,개인정보보호위원회,58524,2022-09-02
2023,정부안,경찰청,12438258,2022-09-02
2023,정부안,고용노동부,34992343,2022-09-02
2023,정부안,고위공직자범죄수사처,17683,2022-09-02
2023,정부안,공정거래위원회,157935,2022-09-02
2023,정부안,과학기술정보통신부,18795240,2022-09-02
2023,정부안,관세청,638281,2022-09-02
2023,정부안,교육부,101844207,2022-09-02
2023,정부안,국가보훈처,6159258,2022-09-02
2023,정부안,국가인권위원회,40691,2022-09-02
2023,정부안,국가정보원,855200,2022-09-02
2023,정부안,국무조정실 및 국무총리비서실,672216,2022-09-02
2023,정부안,국민권익위원회,94958,2022-09-02
2023,정부안,국방부,41918601,2022-09-02
2023,정부안,국세청,1925568,2022-09-02
2023,정부안,국토교통부,55888484,2022-09-02
2023,정부안,국회,716651,2022-09-02
2023,정부안,금융위원회,1523886,2022-09-02
2023,정부안,기상청,467698,2022-09-02
2023,정부안,기획재정부,34972379,2022-09-02
2023,정부안,농림축산식품부,17278484,2022-09-02
2023,정부안,농촌진흥청,1252525,2022-09-02
2023,정부안,대법원,2081568,2022-09-02
2023,정부안,대통령경호처,116322,2022-09-02
2023,정부안,대통령비서실 및 국가안보실,100248,2022-09-02
2023,정부안,문화재청,1293495,2022-09-02
2023,정부안,문화체육관광부,6707628,2022-09-02
2023,정부안,민주평화통일자문회의,33860,2022-09-02
2023,정부안,방송통신위원회,49323,2022-09-02
2023,정부안,방위사업청,17008187,2022-09-02
2023,정부안,법무부,4228632,2022-09-02
2023,정부안,법제처,44036,2022-09-02
2023,정부안,병무청,351760,2022-09-02
2023,정부안,보건복지부,108991834,2022-09-02
2023,정부안,산림청,2447127,2022-09-02
2023,정부안,산업통상자원부,10743711,2022-09-02
2023,정부안,새만금개발청,144727,2022-09-02
2023,정부안,소방청,296279,2022-09-02
2023,정부안,식품의약품안전처,669429,2022-09-02
2023,정부안,여성가족부,1512975,2022-09-02
2023,정부안,외교부,3320632,2022-09-02
2023,정부안,원자력안전위원회,144440,2022-09-02
2023,정부안,인사혁신처,24699270,2022-09-02
2023,정부안,조달청,262934,2022-09-02
2023,정부안,중소벤처기업부,13561882,2022-09-02
2023,정부안,중앙선거관리위원회,407297,2022-09-02
2023,정부안,진실·화해를위한과거사정리위원회,19077,2022-09-02
2023,정부안,질병관리청,3135177,2022-09-02
2023,정부안,통계청,393704,2022-09-02
2023,정부안,통일부,1452097,2022-09-02
2023,정부안,특허청,539988,2022-09-02
2023,정부안,해양경찰청,1820574,2022-09-02
2023,정부안,해양수산부,6381433,2022-09-02
2023,정부안,행정안전부,80072446,2022-09-02
2023,정부안,행정중심복합도시건설청,191617,2022-09-02
2023,정부안,헌법재판소,55809,2022-09-02
2023,정부안,환경부,12902308,2022-09-02
